"d1","d2","d3","d4","d5","ruangan"
-69,-56,-59,-35,-56,305
-80,-56,-62,-43,-60,305
-80,-56,-62,-49,-58,305
-66,-53,-59,-42,-58,305
-80,-47,-64,-43,-58,305
-67,-49,-59,-35,-59,304
-65,-49,-58,-50,-58,304
-59,-46,-58,-32,-73,304
-65,-50,-58,-38,-59,304
-59,-46,-65,-33,-57,304
-59,-46,-53,-36,-58,303
-59,-45,-55,-58,-58,303
-60,-50,-49,-46,-64,303
-59,-57,-52,-49,-64,303
-59,-52,-57,-44,-61,303
-58,-50,-52,-46,-66,302
-57,-50,-51,-49,-69,302
-56,-34,-59,-48,-78,302
-59,-41,-59,-59,-70,302
-58,-48,-59,-53,-69,302
-52,-42,-59,-49,-73,301
-59,-51,-57,-58,-77,301
-53,-48,-64,-59,-78,301
-59,-57,-77,-59,-79,301
-54,-52,-64,-60,-79,301
