,d1,d2,d3,d4,d5,ruangan
0,-90,-50.0,-66.0,-62.0,-74.0,301
1,-90,-47.0,-66.0,-64.0,-77.0,301
2,-90,-57.0,-90,-90,-79.0,301
3,-90,-55.0,-72.0,-66.0,-80.0,301
4,-90,-55.0,-76.0,-64.0,-80.0,301
5,-90,-57.0,-62.0,-59.0,-74.0,301
6,-90,-49.0,-62.0,-62.0,-80.0,301
7,-90,-51.0,-66.0,-63.0,-74.0,301
8,-90,-69.0,-69.0,-63.0,-80.0,301
9,-90,-46.0,-69.0,-54.0,-83.0,301
10,-90,-53.0,-63.0,-64.0,-78.0,301
11,-90, -43, -62, -56, -82,301
12,-90,-40.0,-66.0,-60.0,-81.0,301
13,-90,-37.0,-62.0,-54.0,-75.0,301
14,-90, -49, -66, -71, -79,301
15,-90,-48.0,-60.0,-68.0,-81.0,301
16,-90,-55.0,-72.0,-69.0,-78.0,301
17,-90,-56.0,-64.0,-68.0,-78.0,301
18,-90,-51.0,-63.0,-66.0,-76.0,301
19,-90,-51.0,-90,-61.0,-77.0,301
20,-90,-54.0,-65.0,-59.0,-80.0,301
21,-90,-52.0,-66.0,-58.0,-78.0,301
22,-90,-54.0,-66.0,-68.0,-86.0,301
23,-90,-65.0,-70.0,-71.0,-76.0,301
24,-90,-54.0,-64.0,-54.0,-72.0,301
25,-90,-64.0,-66.0,-61.0,-79.0,301
26,-90,-62.0,-65.0,-55.0,-74.0,301
27,-90,-50.0,-63.0,-58.0,-76.0,301
28,-90,-53.0,-60.0,-60.0,-77.0,301
29,-90,-46.0,-90,-64.0,-78.0,301
30,-90,-46.0,-57.0,-52.0,-74.0,301
31,-90,-53.0,-57.0,-50.0,-73.0,301
32,-90,-46.0,-54.0,-55.0,-74.0,301
33,-90, -44, -55, -55, -69,301
34,-90, -52, -69, -75, -80,301
35,-90,-47.0,-64.0,-63.0,-78.0,301
36,-90, -44, -54, -62, -74,301
37,-90,-41.0,-55.0,-63.0,-80.0,301
38,-90,-47.0,-58.0,-62.0,-77.0,301
39,-90,-50.0,-58.0,-67.0,-74.0,301
40,-90,-48.0,-71.0,-62.0,-69.0,301
41,-90,-48.0,-65.0,-55.0,-80.0,301
42,-90,-57.0,-66.0,-63.0,-77.0,301
43,-90,-51.0,-64.0,-59.0,-90,301
44,-90,-57.0,-90,-61.0,-77.0,301
45,-90,-58.0,-62.0,-75.0,-74.0,301
46,-90,-59.0,-67.0,-67.0,-79.0,301
47,-90,-49.0,-90,-67.0,-80.0,301
48,-90,-54.0,-67.0,-66.0,-80.0,301
49,-90,-54.0,-69.0,-61.0,-80.0,301
50,-90,-58.0,-69.0,-64.0,-73.0,301
51,-90,-54.0,-64.0,-65.0,-76.0,301
52,-90,-56.0,-62.0,-68.0,-79.0,301
53,-90,-50.0,-65.0,-66.0,-78.0,301
54,-90,-50.0,-60.0,-62.0,-76.0,301
55,-90,-43.0,-62.0,-53.0,-75.0,301
56,-90,-56.0,-90,-69.0,-80.0,301
57,-90,-53.0,-69.0,-72.0,-80.0,301
58,-90,-52.0,-59.0,-73.0,-78.0,301
59,-90,-53.0,-62.0,-69.0,-78.0,301
60,-90,-49.0,-62.0,-76.0,-84.0,301
61,-90,-55.0,-90,-90,-79.0,301
62,-90,-60.0,-64.0,-71.0,-76.0,301
63,-90,-54.0,-60.0,-72.0,-84.0,301
64,-90,-58.0,-61.0,-67.0,-77.0,301
65,-90,-59.0,-90,-90,-78.0,301
66,-90,-55.0,-53.0,-90,-73.0,301
67,-90,-53.0,-90,-65.0,-76.0,301
68,-90,-49.0,-90,-64.0,-76.0,301
69,-90,-45.0,-68.0,-90,-78.0,301
70,-90,-40.0,-90,-59.0,-76.0,302
71,-90,-46.0,-55.0,-50.0,-75.0,302
72,-90,-40.0,-58.0,-50.0,-74.0,302
73,-90,-41.0,-61.0,-58.0,-74.0,302
74,-90,-41.0,-59.0,-59.0,-73.0,302
75,-90,-34.0,-90,-90,-75.0,302
76,-90,-40.0,-51.0,-51.0,-77.0,302
77,-90,-39.0,-57.0,-54.0,-71.0,302
78,-90,-41.0,-61.0,-54.0,-78.0,302
79,-90,-46.0,-55.0,-54.0,-77.0,302
80,-90,-42.0,-44.0,-58.0,-72.0,302
81,-90,-43.0,-51.0,-52.0,-74.0,302
82,-90,-32.0,-49.0,-60.0,-75.0,302
83,-90,-42.0,-62.0,-53.0,-75.0,302
84,-90,-38.0,-59.0,-55.0,-74.0,302
85,-90,-37.0,-60.0,-57.0,-77.0,302
86,-90,-32.0,-54.0,-56.0,-79.0,302
87,-90,-38.0,-60.0,-67.0,-74.0,302
88,-90,-41.0,-59.0,-53.0,-73.0,302
89,-90,-43.0,-57.0,-60.0,-78.0,302
90,-90,-45.0,-67.0,-61.0,-80.0,302
91,-90,-41.0,-68.0,-54.0,-80.0,302
92,-90,-35.0,-61.0,-57.0,-72.0,302
93,-90,-37.0,-53.0,-61.0,-69.0,302
94,-90,-46.0,-57.0,-61.0,-77.0,302
95,-90,-42.0,-63.0,-52.0,-80.0,302
96,-90,-36.0,-54.0,-52.0,-74.0,302
97,-90,-40.0,-58.0,-46.0,-71.0,302
98,-90,-41.0,-66.0,-48.0,-72.0,302
99,-90,-39.0,-57.0,-48.0,-73.0,302
100,-90,-41.0,-63.0,-50.0,-73.0,302
101,-90,-38.0,-53.0,-59.0,-73.0,302
102,-90,-42.0,-57.0,-57.0,-75.0,302
103,-90,-37.0,-59.0,-60.0,-75.0,302
104,-90,-36.0,-56.0,-59.0,-74.0,302
105,-90,-33.0,-57.0,-55.0,-73.0,302
106,-90,-34.0,-52.0,-65.0,-75.0,302
107,-90,-31.0,-54.0,-72.0,-78.0,302
108,-90,-33.0,-54.0,-69.0,-80.0,302
109,-90,-42.0,-59.0,-68.0,-84.0,302
110,-90,-42.0,-55.0,-68.0,-75.0,302
111,-90,-34.0,-56.0,-68.0,-83.0,302
112,-90,-46.0,-55.0,-66.0,-75.0,302
113,-90,-48.0,-55.0,-64.0,-76.0,302
114,-90,-41.0,-60.0,-62.0,-73.0,302
115,-90,-38.0,-56.0,-56.0,-77.0,302
116,-90,-35.0,-57.0,-59.0,-72.0,302
117,-90,-34.0,-58.0,-61.0,-75.0,302
118,-90,-29.0,-57.0,-64.0,-74.0,302
119,-90,-27.0,-49.0,-63.0,-72.0,302
120,-90,-28.0,-51.0,-63.0,-71.0,302
121,-90,-42.0,-50.0,-59.0,-73.0,302
122,-90,-47.0,-59.0,-66.0,-77.0,302
123,-90,-44.0,-57.0,-64.0,-73.0,302
124,-90,-32.0,-62.0,-66.0,-77.0,302
125,-90,-37.0,-52.0,-63.0,-78.0,302
126,-90,-30.0,-56.0,-63.0,-78.0,302
127,-90,-31.0,-59.0,-60.0,-73.0,302
128,-90,-40.0,-61.0,-61.0,-75.0,302
129,-90,-31.0,-56.0,-63.0,-74.0,302
130,-90,-50.0,-55.0,-72.0,-77.0,302
