,d1,d2,d3,d4,d5,ruangan
0,,-50.0,-66.0,-62.0,-74.0,301
1,,-47.0,-66.0,-64.0,-77.0,301
2,,-57.0,,,-79.0,301
3,,-55.0,-72.0,-66.0,-80.0,301
4,,-55.0,-76.0,-64.0,-80.0,301
5,,-57.0,-62.0,-59.0,-74.0,301
6,,-49.0,-62.0,-62.0,-80.0,301
7,,-51.0,-66.0,-63.0,-74.0,301
8,,-69.0,-69.0,-63.0,-80.0,301
9,,-46.0,-69.0,-54.0,-83.0,301
10,,-53.0,-63.0,-64.0,-78.0,301
11,, -43, -62, -56, -82,301
12,,-40.0,-66.0,-60.0,-81.0,301
13,,-37.0,-62.0,-54.0,-75.0,301
14,, -49, -66, -71, -79,301
15,,-48.0,-60.0,-68.0,-81.0,301
16,,-55.0,-72.0,-69.0,-78.0,301
17,,-56.0,-64.0,-68.0,-78.0,301
18,,-51.0,-63.0,-66.0,-76.0,301
19,,-51.0,,-61.0,-77.0,301
20,,-54.0,-65.0,-59.0,-80.0,301
21,,-52.0,-66.0,-58.0,-78.0,301
22,,-54.0,-66.0,-68.0,-86.0,301
23,,-65.0,-70.0,-71.0,-76.0,301
24,,-54.0,-64.0,-54.0,-72.0,301
25,,-64.0,-66.0,-61.0,-79.0,301
26,,-62.0,-65.0,-55.0,-74.0,301
27,,-50.0,-63.0,-58.0,-76.0,301
28,,-53.0,-60.0,-60.0,-77.0,301
29,,-46.0,,-64.0,-78.0,301
30,,-46.0,-57.0,-52.0,-74.0,301
31,,-53.0,-57.0,-50.0,-73.0,301
32,,-46.0,-54.0,-55.0,-74.0,301
33,, -44, -55, -55, -69,301
34,, -52, -69, -75, -80,301
35,,-47.0,-64.0,-63.0,-78.0,301
36,, -44, -54, -62, -74,301
37,,-41.0,-55.0,-63.0,-80.0,301
38,,-47.0,-58.0,-62.0,-77.0,301
39,,-50.0,-58.0,-67.0,-74.0,301
40,,-48.0,-71.0,-62.0,-69.0,301
41,,-48.0,-65.0,-55.0,-80.0,301
42,,-57.0,-66.0,-63.0,-77.0,301
43,,-51.0,-64.0,-59.0,,301
44,,-57.0,,-61.0,-77.0,301
45,,-58.0,-62.0,-75.0,-74.0,301
46,,-59.0,-67.0,-67.0,-79.0,301
47,,-49.0,,-67.0,-80.0,301
48,,-54.0,-67.0,-66.0,-80.0,301
49,,-54.0,-69.0,-61.0,-80.0,301
50,,-58.0,-69.0,-64.0,-73.0,301
51,,-54.0,-64.0,-65.0,-76.0,301
52,,-56.0,-62.0,-68.0,-79.0,301
53,,-50.0,-65.0,-66.0,-78.0,301
54,,-50.0,-60.0,-62.0,-76.0,301
55,,-43.0,-62.0,-53.0,-75.0,301
56,,-56.0,,-69.0,-80.0,301
57,,-53.0,-69.0,-72.0,-80.0,301
58,,-52.0,-59.0,-73.0,-78.0,301
59,,-53.0,-62.0,-69.0,-78.0,301
60,,-49.0,-62.0,-76.0,-84.0,301
61,,-55.0,,,-79.0,301
62,,-60.0,-64.0,-71.0,-76.0,301
63,,-54.0,-60.0,-72.0,-84.0,301
64,,-58.0,-61.0,-67.0,-77.0,301
65,,-59.0,,,-78.0,301
66,,-55.0,-53.0,,-73.0,301
67,,-53.0,,-65.0,-76.0,301
68,,-49.0,,-64.0,-76.0,301
69,,-45.0,-68.0,,-78.0,301
70,,-40.0,,-59.0,-76.0,302
71,,-46.0,-55.0,-50.0,-75.0,302
72,,-40.0,-58.0,-50.0,-74.0,302
73,,-41.0,-61.0,-58.0,-74.0,302
74,,-41.0,-59.0,-59.0,-73.0,302
75,,-34.0,,,-75.0,302
76,,-40.0,-51.0,-51.0,-77.0,302
77,,-39.0,-57.0,-54.0,-71.0,302
78,,-41.0,-61.0,-54.0,-78.0,302
79,,-46.0,-55.0,-54.0,-77.0,302
80,,-42.0,-44.0,-58.0,-72.0,302
81,,-43.0,-51.0,-52.0,-74.0,302
82,,-32.0,-49.0,-60.0,-75.0,302
83,,-42.0,-62.0,-53.0,-75.0,302
84,,-38.0,-59.0,-55.0,-74.0,302
85,,-37.0,-60.0,-57.0,-77.0,302
86,,-32.0,-54.0,-56.0,-79.0,302
87,,-38.0,-60.0,-67.0,-74.0,302
88,,-41.0,-59.0,-53.0,-73.0,302
89,,-43.0,-57.0,-60.0,-78.0,302
90,,-45.0,-67.0,-61.0,-80.0,302
91,,-41.0,-68.0,-54.0,-80.0,302
92,,-35.0,-61.0,-57.0,-72.0,302
93,,-37.0,-53.0,-61.0,-69.0,302
94,,-46.0,-57.0,-61.0,-77.0,302
95,,-42.0,-63.0,-52.0,-80.0,302
96,,-36.0,-54.0,-52.0,-74.0,302
97,,-40.0,-58.0,-46.0,-71.0,302
98,,-41.0,-66.0,-48.0,-72.0,302
99,,-39.0,-57.0,-48.0,-73.0,302
100,,-41.0,-63.0,-50.0,-73.0,302
101,,-38.0,-53.0,-59.0,-73.0,302
102,,-42.0,-57.0,-57.0,-75.0,302
103,,-37.0,-59.0,-60.0,-75.0,302
104,,-36.0,-56.0,-59.0,-74.0,302
105,,-33.0,-57.0,-55.0,-73.0,302
106,,-34.0,-52.0,-65.0,-75.0,302
107,,-31.0,-54.0,-72.0,-78.0,302
108,,-33.0,-54.0,-69.0,-80.0,302
109,,-42.0,-59.0,-68.0,-84.0,302
110,,-42.0,-55.0,-68.0,-75.0,302
111,,-34.0,-56.0,-68.0,-83.0,302
112,,-46.0,-55.0,-66.0,-75.0,302
113,,-48.0,-55.0,-64.0,-76.0,302
114,,-41.0,-60.0,-62.0,-73.0,302
115,,-38.0,-56.0,-56.0,-77.0,302
116,,-35.0,-57.0,-59.0,-72.0,302
117,,-34.0,-58.0,-61.0,-75.0,302
118,,-29.0,-57.0,-64.0,-74.0,302
119,,-27.0,-49.0,-63.0,-72.0,302
120,,-28.0,-51.0,-63.0,-71.0,302
121,,-42.0,-50.0,-59.0,-73.0,302
122,,-47.0,-59.0,-66.0,-77.0,302
123,,-44.0,-57.0,-64.0,-73.0,302
124,,-32.0,-62.0,-66.0,-77.0,302
125,,-37.0,-52.0,-63.0,-78.0,302
126,,-30.0,-56.0,-63.0,-78.0,302
