,d1,d2,d3,d4,d5,ruangan
0,-39.0,-58.0,-57.0,-73.0,-66.0,301
1,-45.0,-56.0,-60.0,-74.0,-61.0,301
2,-38.0,-58.0,-51.0,-69.0,-58.0,301
3,-53.0,-62.0,-58.0,-73.0,-61.0,301
4,-43.0,-72.0,-63.0,-75.0,-66.0,301
5,-48.0,-65.0,-60.0,-77.0,-67.0,301
6,-38.0,-63.0,-48.0,-69.0,-57.0,301
7,-35.0,-67.0,-55.0,-68.0,-60.0,301
8,-40.0,-65.0,-53.0,-70.0,-64.0,301
9,-41.0,-62.0,-61.0,-71.0,-66.0,301
10,-39.0,-62.0,-60.0,-74.0,-65.0,301
11,-41.0,-59.0,-58.0,-71.0,-68.0,301
12,-35.0,-66.0,-57.0,-74.0,-67.0,301
13,-37.0,-67.0,-52.0,-76.0,-67.0,301
14,-45.0,-65.0,-64.0,-75.0,-68.0,301
15,-44.0,-63.0,-54.0,-74.0,-60.0,301
16,-49.0,-72.0,-67.0,-81.0,-75.0,301
17,-52.0,-68.0,-61.0,-79.0,-70.0,301
18,-46.0,-63.0,-58.0,-79.0,-65.0,301
19,-43.0,-62.0,-57.0,-74.0,-50.0,301
20,-41.0,-62.0,-54.0,-73.0,-57.0,301
21,-34.0,-59.0,-53.0,-67.0,-57.0,301
22,-37.0,-60.0,-53.0,-70.0,-58.0,301
23,-36.0,-57.0,-53.0,-71.0,-58.0,301
24,-37.0,-58.0,-57.0,-69.0,-61.0,301
25,-37.0,-58.0,-52.0,-67.0,-55.0,301
26,-42.0,-65.0,-49.0,-66.0,-60.0,301
27,-41.0,-56.0,-45.0,-68.0,-60.0,301
28,-38.0,-53.0,-42.0,-64.0,-60.0,301
29,-43.0,-57.0,-45.0,-65.0,-57.0,301
30,-44.0,-59.0,-44.0,-66.0,-62.0,301
31,-42.0,-71.0,-49.0,-69.0,-54.0,301
32,-41.0,-62.0,-52.0,-66.0,-55.0,301
33,-42.0,-62.0,-54.0,-73.0,-57.0,301
34,-44.0,-61.0,-51.0,-69.0,-60.0,301
35,-48.0,-62.0,-51.0,-70.0,-61.0,301
36,-48.0,-60.0,-65.0,-69.0,-70.0,301
37,-44.0,-62.0,-60.0,-66.0,-64.0,301
38,-38.0,-57.0,-58.0,-68.0,-59.0,301
39,-32.0,-57.0,-58.0,-76.0,-68.0,301
40,-35.0,-55.0,-59.0,-70.0,-63.0,301
41,-42.0,-66.0,-49.0,-69.0,-60.0,301
42,-44.0,-60.0,-54.0,-71.0,-58.0,301
43,-42.0,-57.0,-49.0,-71.0,-55.0,301
44,-48.0,-53.0,-42.0,-66.0,-52.0,301
45,-40.0,-64.0,-51.0,-74.0,-59.0,301
46,-42.0,-53.0,-42.0,-65.0,-50.0,301
47,-38.0,-59.0,-46.0,-66.0,-53.0,301
48,-43.0,-58.0,-54.0,-67.0,-53.0,301
49,-37.0,-60.0,-50.0,-66.0,-52.0,301
50,-32.0,-55.0,-54.0,-62.0,-54.0,301
51,-34.0,-57.0,-51.0,-67.0,-53.0,301
52,-38.0,-54.0,-52.0,-74.0,-55.0,301
53,-45.0,-59.0,-55.0,-65.0,-53.0,301
54,-36.0,-51.0,-60.0,-72.0,-60.0,301
55,-36.0,-54.0,-56.0,-69.0,-59.0,301
56,-31.0,-57.0,-51.0,-71.0,-61.0,301
57,-35.0,-56.0,-49.0,-67.0,-59.0,301
58,-34.0,-54.0,-47.0,-65.0,-58.0,301
59,-32.0,-55.0,-48.0,-62.0,-59.0,301
60,-38.0,-56.0,-46.0,-61.0,-55.0,301
61,-42.0,-53.0,-45.0,-62.0,-51.0,301
62,-41.0,-56.0,-40.0,-69.0,-49.0,301
63,-36.0,-54.0,-42.0,-69.0,-51.0,301
64,-31.0,-53.0,-47.0,-68.0,-54.0,301
65,-26.0,-54.0,-47.0,-68.0,-53.0,301
66,-29.0,-56.0,-59.0,-66.0,-62.0,301
67,-37.0,-54.0,-52.0,-71.0,-65.0,301
68,-45.0,-61.0,-64.0,-71.0,-65.0,301
69,-49.0,-69.0,-62.0,-71.0,-64.0,301
70,-42.0,-57.0,-68.0,-74.0,-70.0,301
71,-36.0,-56.0,-63.0,-77.0,-73.0,301
72,-36.0,-56.0,-63.0,-74.0,-72.0,301
73,-29.0,-61.0,-57.0,-72.0,-62.0,301
74,-28.0,-54.0,-54.0,-69.0,-64.0,301
